,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
11294,b'2016-12-21',texas-pan-american,b'',b'Wayland Baptist',0,b'W',b'86',b'55',b'30',b'74',b'.405',b'8',b'29',b'.276',b'18',b'24',b'.750',b'18',b'50',b'21',b'12',b'4',b'16',b'24',b'16',b'62',b'.258',b'6',b'24',b'.250',b'17',b'28',b'.607',b'12',b'37',b'10',b'4',b'5',b'24',b'20',False
11295,b'2016-12-29',texas-pan-american,b'',b'Our Lady of the Lake',0,b'W',b'97',b'81',b'33',b'67',b'.493',b'19',b'36',b'.528',b'12',b'20',b'.600',b'10',b'37',b'28',b'9',b'3',b'17',b'23',b'26',b'62',b'.419',b'13',b'31',b'.419',b'16',b'25',b'.640',b'12',b'32',b'19',b'6',b'1',b'20',b'20',False
11296,b'2016-12-31',texas-pan-american,b'',b'Texas A&M-Kingsville',0,b'W',b'96',b'78',b'30',b'55',b'.545',b'11',b'23',b'.478',b'25',b'38',b'.658',b'6',b'32',b'19',b'9',b'1',b'18',b'23',b'29',b'60',b'.483',b'3',b'14',b'.214',b'17',b'28',b'.607',b'12',b'31',b'14',b'7',b'0',b'20',b'28',False
11297,b'2017-01-05',texas-pan-american,b'@',b'Chicago State',1,b'W',b'83',b'64',b'32',b'71',b'.451',b'6',b'23',b'.261',b'13',b'17',b'.765',b'13',b'50',b'14',b'4',b'3',b'14',b'22',b'20',b'63',b'.317',b'4',b'18',b'.222',b'20',b'29',b'.690',b'10',b'35',b'10',b'8',b'2',b'13',b'17',False
11298,b'2017-01-07',texas-pan-american,b'@',b'UMKC',1,b'L',b'79',b'83',b'28',b'70',b'.400',b'7',b'24',b'.292',b'16',b'19',b'.842',b'12',b'36',b'10',b'12',b'1',b'11',b'25',b'27',b'53',b'.509',b'9',b'18',b'.500',b'20',b'35',b'.571',b'11',b'32',b'19',b'5',b'3',b'18',b'18',False
11299,b'2017-01-12',texas-pan-american,b'',b'Cal State Bakersfield',1,b'L',b'81',b'88',b'29',b'62',b'.468',b'12',b'27',b'.444',b'11',b'17',b'.647',b'8',b'26',b'20',b'3',b'4',b'14',b'19',b'31',b'65',b'.477',b'5',b'16',b'.313',b'21',b'26',b'.808',b'15',b'37',b'17',b'9',b'3',b'10',b'18',False
11300,,texas-pan-american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11301,,texas-pan-american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11302,b'2017-01-14',texas-pan-american,b'',b'Grand Canyon',1,b'L',b'66',b'79',b'20',b'64',b'.313',b'8',b'29',b'.276',b'18',b'26',b'.692',b'10',b'30',b'12',b'13',b'2',b'14',b'28',b'22',b'50',b'.440',b'4',b'14',b'.286',b'31',b'41',b'.756',b'11',b'40',b'11',b'6',b'0',b'20',b'21',False
11303,b'2017-01-21',texas-pan-american,b'',b'Chicago State',1,b'W(1 OT)',b'85',b'77',b'27',b'69',b'.391',b'11',b'35',b'.314',b'20',b'25',b'.800',b'12',b'35',b'20',b'14',b'3',b'15',b'18',b'30',b'61',b'.492',b'7',b'18',b'.389',b'10',b'15',b'.667',b'8',b'37',b'18',b'2',b'0',b'25',b'22',False
11304,b'2017-01-26',texas-pan-american,b'@',b'Utah Valley',1,b'L',b'81',b'92',b'29',b'68',b'.426',b'3',b'11',b'.273',b'20',b'28',b'.714',b'10',b'36',b'12',b'10',b'2',b'15',b'34',b'23',b'52',b'.442',b'10',b'30',b'.333',b'36',b'48',b'.750',b'7',b'39',b'20',b'8',b'6',b'18',b'22',False
